book_id,is_ebook,text_reviews_count,average_rating,language_code,num_pages,publication_month,publication_year,ratings_count,title,sample_rating,read_duration,genre
6640566,true,30,3.87,en-US,336,10,2009,1315,"Sourcery (Discworld, #5)",3.5,2.0,fantasy_paranormal
2915837,false,261,3.58,en-US,290,5,2008,3348,"A Kiss Before the Apocalypse (Remy Chandler, #1)",3.6666666666666665,1.8333333333333333,fantasy_paranormal
6589085,true,172,4.01,eng,416,10,2009,4395,Anansi Boys,4.0,16.0,fantasy_paranormal
15424,false,164,3.85,,378,2,1991,10831,"And Eternity (Incarnations of Immortality, #7)",4.0,5.0,fantasy_paranormal
26006981,true,40,3.82,en-CA,339,,,501,"The Affiliate (Ascension, #1)",1.0,3.0,fantasy_paranormal
28006416,true,323,4.01,en-GB,,,,1623,"Anarchy Found (SuperAlpha, #1)",4.0,2.25,fantasy_paranormal
18950609,true,87,3.84,eng,,,,1749,"Starstruck (Starstruck, #1)",4.5,10.0,fantasy_paranormal
12644937,true,220,4.1,en-GB,228,9,2011,6669,"Wicked (Celestra, #4)",2.6,28.2,fantasy_paranormal
25226493,true,43,3.89,eng,100,12,2014,528,Alpha,4.0,0.0,fantasy_paranormal
6076675,false,194,3.94,en-US,224,4,2009,2875,"The Melancholy of Haruhi Suzumiya (Haruhi Suzumiya, #1)",3.0,0.0,fantasy_paranormal
22465194,true,26,3.95,eng,,,,697,"A Thirst for Vengeance, Part 2 (The Ashes Saga, #2)",5.0,6.0,fantasy_paranormal
22357768,true,34,4.29,en-GB,,,,513,"Drop Dead Demons (Divinicus Nex Chronicles, #2)",4.0,6.0,fantasy_paranormal
133450,false,84,4.16,en-US,,,,5228,"Dragon (Vlad Taltos, #8)",3.5,4.5,fantasy_paranormal
29105123,true,12,4.06,en-US,,,,504,Grave Expectations (The Ministry of Curiosities #4),5.0,0.0,fantasy_paranormal
6364657,false,681,3.63,en-GB,454,1,2010,4947,Bleeding Violet,2.5,8.0,fantasy_paranormal
6725785,false,748,4.16,eng,309,7,2010,13812,"Waking the Witch (Women of the Otherworld, #11)",4.333333333333333,13.0,fantasy_paranormal
385706,false,1132,4.2,eng,358,7,2006,32414,"Gregor and the Curse of the Warmbloods (Underland Chronicles, #3)",4.0,3.0,fantasy_paranormal
386373,false,168,3.88,en-GB,380,,,2870,"Pyramids (Discworld, #7)",4.5,5.5,fantasy_paranormal
15566,false,158,4.02,eng,416,,,24317,"The Elf Queen of Shannara (Heritage of Shannara, #3)",3.5,11.5,fantasy_paranormal
363431,false,106,3.72,eng,105,9,2003,1959,"The Monster's Ring (Magic Shop, #1)",2.0,0.0,fantasy_paranormal
8307302,false,67,3.79,eng,288,10,2010,734,"The Keepers (The Keepers Trilogy, #1)",3.0,4.0,fantasy_paranormal
7179268,false,184,4.12,eng,334,,2010,854,"Slave to Sensation (Psy-Changeling, #1)",2.5,3.5,fantasy_paranormal
18652686,true,39,4.02,eng,,,,1844,"Affliction (Anita Blake, Vampire Hunter, #22 )",4.0,2.0,fantasy_paranormal
6981005,true,171,4.21,,320,3,2009,1510,"City of Ashes (The Mortal Instruments, #2)",2.6666666666666665,7.666666666666667,fantasy_paranormal
18869618,true,175,3.67,eng,31,1,2014,1190,Wolverton Station,4.0,0.0,fantasy_paranormal
228337,false,144,3.97,eng,496,9,2002,1972,"Jaran (Jaran, #1)",4.5,6.0,fantasy_paranormal
2073480,false,72,4.01,en-US,332,,,509,"Victory of Eagles (Temeraire, #5)",5.0,3.0,fantasy_paranormal
8166948,true,85,3.55,,31,3,2010,1103,Hunter's Choice,2.5,0.5,fantasy_paranormal
3458315,false,27,4.33,,176,12,2008,2860,"Shugo Chara!, Vol. 5: The New Kids (Shugo Chara!, #5)",3.0,0.0,fantasy_paranormal
9596404,true,39,3.93,eng,154,11,2010,1024,A Tempting Distraction (Lost Shifters #7),4.0,0.0,fantasy_paranormal
155104,false,161,4.54,en-GB,607,7,2005,3485,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",3.0,2.3333333333333335,fantasy_paranormal
6321845,false,726,3.7,en-US,308,10,2009,6001,Ice,3.6666666666666665,2.6666666666666665,fantasy_paranormal
2305862,false,200,3.65,en-US,388,,,2269,Havemercy (Havemercy #1),1.0,33.0,fantasy_paranormal
19394431,true,83,4.39,eng,,,,1953,Missing in Mudbug (Ghost-in-Law #5),4.333333333333333,4.333333333333333,fantasy_paranormal
960493,false,128,3.99,,222,1,1937,1534,Descent into Hell,4.0,34.5,fantasy_paranormal
2167829,false,59,4.23,en-US,416,,,524,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.0,15.0,fantasy_paranormal
18196232,true,43,3.37,eng,269,7,2013,548,"Gateway to Faerie (Gateway to Faerie, #1)",2.0,3.0,fantasy_paranormal
21949771,true,251,4.12,eng,259,,,1730,Maleficent,3.0,19.0,fantasy_paranormal
30281,false,3679,4.02,eng,355,8,2004,105687,"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",2.948717948717949,12.974358974358974,fantasy_paranormal
16071620,true,593,3.63,eng,47,11,2012,5320,Six Earlier Days (Every Day #0.5),3.5,0.5,fantasy_paranormal
29505845,true,277,4.18,eng,240,5,2016,1342,"Hexbreaker (Hexworld, #1)",4.666666666666667,5.0,fantasy_paranormal
35820565,true,24,3.99,eng,27,9,2017,552,Critical Role – Vox Machina: Origins #1,3.0,0.0,fantasy_paranormal
1593623,false,309,3.46,eng,691,11,2008,10346,"Renegade's Magic (Soldier Son, #3)",4.222222222222222,11.88888888888889,fantasy_paranormal
18052871,false,389,4.14,eng,358,2,2014,4819,"Vampire Most Wanted (Argeneau, #20)",4.0,37.0,fantasy_paranormal
4971583,true,284,3.8,eng,175,4,2008,7522,"The Wallflower (Halle Pumas, #1)",3.6666666666666665,1.3333333333333333,fantasy_paranormal
11848987,true,292,3.99,eng,100,8,2011,6710,"Devil to Pay (Night Huntress, #3.5)",2.0,1.6,fantasy_paranormal
552361,false,10,3.8,en-US,258,8,1988,688,"Uneasy Alliances (Thieves' World, #11)",4.0,8.0,fantasy_paranormal
17385231,false,191,3.82,eng,339,9,2015,1021,"The Affiliate (Ascension, #1)",3.5,1.0,fantasy_paranormal
19485109,false,158,4.06,eng,483,,,1462,"The Purge of Babylon (Purge of Babylon, #1)",2.5,29.5,fantasy_paranormal
9785225,false,458,4.26,eng,552,7,2011,10080,"Monster Hunter Alpha (Monster Hunter International, #3)",3.9,15.3,fantasy_paranormal
8551159,false,59,3.98,en-US,317,,,811,"Hidden Embers (Dragon's Heat, #2)",5.0,2.0,fantasy_paranormal
18050015,false,156,3.66,eng,295,2,2014,538,"Scintillate (The Light Key Trilogy, #1)",3.0,2.0,fantasy_paranormal
13019276,true,44,3.87,eng,108,11,2011,1139,"The Wolf Within (Alpine Woods Shifters, #3)",4.0,1.0,fantasy_paranormal
12473983,true,108,4.14,eng,228,8,2011,3741,"Eternity (Guardian Trilogy, #2)",4.8,0.6,fantasy_paranormal
3704107,false,60,3.93,ita,386,4,2004,2761,"Nihal della terra del vento (Le Cronache del Mondo Emerso, #1)",5.0,21.0,fantasy_paranormal
5637094,false,11,3.59,pol,272,11,2008,928,"Kłamca 3. Ochłap sztandaru (Kłamca, #3)",4.0,5.0,fantasy_paranormal
12735678,false,103,4.16,spa,416,10,2011,1025,"Silencio (Hush, Hush, #3)",3.6666666666666665,7.333333333333333,fantasy_paranormal
7800182,false,44,4.27,jpn,,1,2009,864,空ろの箱と零のマリア 1,3.0,0.0,fantasy_paranormal
34640259,true,158,3.63,eng,279,6,2017,1406,"Transcend (Origin, #2)",1.0,1.0,fantasy_paranormal
11530570,true,117,4.26,en-US,310,9,2011,1208,"Archangel's Blade (Guild Hunter, #4)",4.5,0.5,fantasy_paranormal
2568513,false,87,4.0,eng,146,2,2008,890,Alice's Adventures in Wonderland,4.5,19.0,fantasy_paranormal
691580,false,20,3.98,eng,282,4,2004,709,Ragnar's Claw,4.0,0.0,fantasy_paranormal
20674253,true,53,3.77,eng,232,4,2014,565,"Wolf at the Door (Salvation Pack, #1)",4.0,1.0,fantasy_paranormal
15788084,false,144,3.58,en-US,352,3,2013,1411,"Undead and Underwater (Undead, #11.5)",2.0,5.5,fantasy_paranormal
18079646,false,169,4.22,eng,352,1,2014,1645,"The Ghoul Next Door (Ghost Hunter Mystery, #8)",4.25,2.25,fantasy_paranormal
16192589,true,78,3.76,eng,115,12,2012,915,To Have a Human (Banded Brothers #1),2.0,0.5,fantasy_paranormal
91964,false,246,3.73,en-GB,553,7,2004,8894,"The Briar King (Kingdoms of Thorn and Bone, #1)",4.0,8.0,fantasy_paranormal
9047566,false,80,4.32,eng,192,2,2011,4519,"Black Bird, Vol. 07 (Black Bird, #7)",3.6666666666666665,2.3333333333333335,fantasy_paranormal
6984466,true,190,3.57,eng,513,7,2007,1157,"Twilight (Twilight, #1)",2.0,7.0,fantasy_paranormal
8490112,false,17781,4.04,eng,422,9,2011,204609,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",3.888412017167382,23.373390557939913,fantasy_paranormal
12906224,true,25,4.02,eng,250,2,2012,536,"Quinn's Quest (Legacy, #4)",4.0,2.5,fantasy_paranormal
20525471,true,134,3.9,en-GB,141,,,977,The Uncanny Valley: Tales from a Lost Town,3.75,8.5,fantasy_paranormal
400878,false,217,3.9,,320,5,1990,3849,"Sweet Silver Blues (Garrett P.I., #1)",4.0,1.0,fantasy_paranormal
7885220,false,300,3.85,eng,316,12,2010,3647,"If Walls Could Talk (Haunted Home Renovation Mystery, #1)",3.111111111111111,7.777777777777778,fantasy_paranormal
23676989,true,130,3.89,eng,407,5,2015,770,Sacrati,4.5,2.5,fantasy_paranormal
30312855,false,431,4.07,eng,500,7,2017,1509,The Last Magician,2.5,5.0,fantasy_paranormal
9645632,false,214,3.92,eng,426,5,2011,2211,"Awaken the Highland Warrior (Connor Clan, #1)",4.0,5.0,fantasy_paranormal
